date;animal quantity;grass quantity;average animal energy;average animal life span;average children quantity;
0;20;0;100.0;0.0;0.0;
1;20;2;99.0;0.0;0.0;
2;20;4;98.0;0.0;0.0;
3;21;6;92.38;0.0;0.1;
4;22;7;87.68;0.0;0.18;
5;23;9;82.96;0.0;0.26;
6;25;11;75.4;0.0;0.4;
7;26;13;71.54;0.0;0.46;
8;26;15;70.54;0.0;0.46;
9;26;17;69.54;0.0;0.46;
10;26;18;68.92;0.0;0.46;
11;28;20;63.07;0.0;0.57;
12;29;21;60.28;0.0;0.62;
13;29;21;59.97;0.0;0.62;
14;30;22;57.37;0.0;0.67;
15;32;23;53.22;0.0;0.75;
16;33;22;51.58;0.0;0.79;
17;34;23;49.38;0.0;0.82;
18;35;24;47.29;0.0;0.86;
19;35;24;46.86;0.0;0.86;
20;35;25;46.14;0.0;0.86;
21;35;25;45.71;0.0;0.86;
22;36;25;44.06;0.0;0.89;
23;36;27;43.06;0.0;0.89;
24;36;28;42.33;0.0;0.89;
25;36;30;41.33;0.0;0.89;
26;36;31;40.61;0.0;0.89;
27;36;29;40.72;0.0;0.89;
28;36;29;40.28;0.0;0.89;
29;36;28;40.11;0.0;0.89;
30;36;27;39.94;0.0;0.89;
31;36;27;39.5;0.0;0.89;
32;36;28;38.78;0.0;0.89;
33;36;27;38.61;0.0;0.89;
34;36;26;38.44;0.0;0.89;
35;36;26;38.0;0.0;0.89;
36;36;27;37.28;0.0;0.89;
37;36;27;36.83;0.0;0.89;
38;36;28;36.11;0.0;0.89;
39;37;29;34.46;0.0;0.92;
40;38;30;32.84;0.0;0.95;
41;38;30;32.37;0.0;0.95;
42;38;31;31.63;0.0;0.95;
43;38;32;30.89;0.0;0.95;
44;38;33;30.16;0.0;0.95;
45;38;35;29.16;0.0;0.95;
46;38;32;29.47;0.0;0.95;
47;38;32;29.0;0.0;0.95;
48;38;33;28.26;0.0;0.95;
49;38;33;27.79;0.0;0.95;
50;38;34;27.05;0.0;0.95;
51;38;32;27.11;0.0;0.95;
52;37;33;27.11;49.0;0.97;
53;37;33;26.65;49.0;0.97;
54;37;33;26.19;49.0;0.97;
55;36;33;26.47;43.0;1.0;
56;35;35;26.23;47.33;0.94;
57;34;34;26.88;48.75;0.97;
58;34;32;27.06;48.75;0.97;
59;34;29;27.53;48.75;0.97;
60;34;28;27.44;48.8;1.03;
61;34;24;28.21;48.8;1.03;
62;33;25;28.36;51.0;1.0;
63;32;26;28.56;52.0;1.03;
64;30;27;29.8;53.89;1.03;
65;30;23;30.8;53.89;1.03;
66;30;23;30.47;53.89;1.03;
67;30;22;30.47;53.89;1.03;
68;30;24;29.47;53.89;1.03;
69;30;25;28.8;53.89;1.03;
70;30;27;27.8;53.89;1.03;
71;28;28;29.14;55.64;1.04;
72;28;30;28.14;55.64;1.04;
73;28;30;27.86;55.64;1.04;
74;28;31;27.21;55.64;1.04;
75;28;33;26.21;55.64;1.04;
76;27;33;26.93;55.5;1.07;
77;27;34;26.3;55.5;1.07;
78;26;33;27.46;57.23;1.0;
79;26;33;27.23;57.23;1.0;
80;26;32;27.38;57.23;1.0;
81;26;33;26.77;57.23;1.0;
82;26;35;25.77;57.23;1.0;
83;25;36;26.2;59.07;0.96;
84;25;37;25.6;59.07;0.96;
85;25;36;25.8;59.07;0.96;
86;25;37;25.2;59.07;0.96;
87;25;37;25.0;59.07;0.96;
88;25;37;24.8;59.07;0.96;
89;23;38;26.39;62.82;0.87;
90;23;37;26.7;62.82;0.87;
91;22;38;27.36;63.6;0.91;
92;22;40;26.36;63.6;0.91;
93;21;41;27.1;65.23;0.81;
94;21;42;26.57;65.23;0.81;
95;20;43;27.4;66.8;0.75;
96;20;44;26.9;66.8;0.75;
97;20;45;26.4;66.8;0.75;
98;19;43;28.89;66.41;0.79;
99;19;43;28.95;66.41;0.79;
100;18;43;30.67;67.25;0.83;
101;17;44;32.06;68.24;0.88;
102;16;45;33.69;69.1;0.94;
103;16;46;33.31;69.1;0.94;
104;16;47;32.94;69.1;0.94;
105;16;48;32.56;69.1;0.94;
106;16;47;33.44;69.1;0.94;
107;16;48;33.06;69.1;0.94;
108;16;49;32.69;69.1;0.94;
109;16;49;32.94;69.1;0.94;
110;16;49;33.19;69.1;0.94;
111;16;50;32.81;69.1;0.94;
112;16;51;32.44;69.1;0.94;
113;16;50;33.31;69.1;0.94;
114;16;51;32.94;69.1;0.94;
115;16;52;32.56;69.1;0.94;
116;15;53;34.4;71.05;0.93;
117;15;51;36.07;71.05;0.93;
118;15;52;35.73;71.05;0.93;
119;16;52;33.88;71.05;1.0;
120;16;52;34.13;71.05;1.0;
121;15;51;37.4;73.05;0.93;
122;15;53;36.4;73.05;0.93;
123;14;52;40.14;74.97;0.86;
124;14;52;40.57;74.97;0.86;
125;13;52;44.23;74.6;0.92;
126;13;53;44.0;74.6;0.92;
127;13;54;43.77;74.6;0.92;
128;13;55;43.54;74.6;0.92;
129;13;54;44.85;74.6;0.92;
130;13;55;44.62;74.6;0.92;
131;13;53;46.69;74.6;0.92;
132;13;54;46.46;74.6;0.92;
133;12;54;51.0;76.08;1.0;
134;12;54;51.67;76.08;1.0;
135;12;53;53.17;76.08;1.0;
136;12;51;55.5;76.08;1.0;
137;13;52;51.08;76.08;1.08;
138;13;52;51.62;76.08;1.08;
139;13;53;51.38;76.08;1.08;
140;13;52;52.69;76.08;1.08;
141;13;50;54.77;76.08;1.08;
142;13;51;54.54;76.08;1.08;
143;13;51;55.08;76.08;1.08;
144;13;49;57.15;76.08;1.08;
145;13;49;57.69;76.08;1.08;
146;13;49;58.23;76.08;1.08;
147;13;51;57.23;76.08;1.08;
148;13;53;56.23;76.08;1.08;
149;15;53;49.27;76.08;1.2;
150;15;53;49.6;76.08;1.2;
151;15;53;49.93;76.08;1.2;
152;15;52;50.93;76.08;1.2;
153;15;52;51.27;76.08;1.2;
154;15;51;52.27;76.08;1.2;
155;15;51;52.6;76.08;1.2;
156;15;52;52.27;76.08;1.2;
157;15;51;53.27;76.08;1.2;
158;15;51;53.6;76.08;1.2;
159;15;51;53.93;76.08;1.2;
160;15;50;54.93;76.08;1.2;
161;15;51;54.6;76.08;1.2;
162;15;52;54.27;76.08;1.2;
163;15;53;53.93;76.08;1.2;
164;15;51;55.6;76.08;1.2;
165;15;51;55.93;76.08;1.2;
166;15;52;55.6;76.08;1.2;
